Designator,Mid X,Mid Y,Layer,Rotation
C1,19.20,16.46,Top,90.0
C2,21.27,16.46,Top,90.0
C3,23.27, 4.91,Top,270.0
C4,15.07,13.35,Top,0.0
C5,10.96,17.75,Top,180.0
C6,31.17, 6.24,Top,270.0
F1,10.96,15.54,Top,180.0
IC1,23.91,10.03,Top,0.0
IC2,33.79, 6.24,Top,0.0
J1, 3.40,15.05,Top,180.0
J2, 6.40, 5.44,Top,90.0
LDO,15.63,16.45,Top,270.0
PWR,29.14, 2.13,Top,90.0
R1,35.42,11.56,Top,0.0
R2,31.33,11.56,Top,180.0
R3,27.57, 2.38,Top,90.0
R4, 6.68,11.07,Top,180.0
R5, 8.57, 4.06,Top,270.0
RX,35.42,13.02,Top,180.0
S1,14.11, 4.21,Top,0.0
TX,31.33,13.02,Top,0.0
